airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,he_ident
06AL,1600,75,ASPH,0,0,H3,
06AL,1600,75,ASPH,0,0,H4,
06AL,1600,75,ASPH,0,0,H5,
06AL,1600,75,ASPH,0,0,H6,
06AL,1600,75,TURF,0,0,H7,
06AR,2900,125,TURF,1,0,16,34
06AZ,80,80,CONC,1,0,H1,
06B,15000,4000,WATER-E,0,0,2,20
06CA,20,20,CONC,0,0,H1,
06CL,46,46,CONC,1,0,H1,
06CO,4500,75,TURF,0,0,17,35
06FA,7003,150,ASPH,1,0,9,27
06FD,3400,120,TURF,0,0,18,36
06FL,200,100,TURF,0,0,H1,
06GA,300,300,TURF,0,0,H1,
06I,16000,3500,WATER,0,0,E,W
06IA,1750,100,TURF,0,0,9,27
06ID,2200,80,GRVL-DIRT,0,0,9,27
06IL,2580,70,TURF,0,0,9,27
06IN,1600,75,TURF,0,0,N,S
06IS,2600,70,TURF,0,0,18,36
06KS,25,25,TURF,0,0,H1,
06KY,60,60,CONC,0,0,H1,
06LA,39,39,CONC,0,0,H1,
06LL,40,40,CONC,0,0,H1,
06LS,40,40,CONC,0,0,H1,
06MA,15,15,ASPH,0,0,H1,
06MD,60,60,CONC,1,0,H1,
06MI,45,45,CONC,0,0,H1,
06MI,45,45,ASPH,0,0,H2,
06MN,1500,60,TURF,0,0,12,30
06MO,3000,30,ASPH,1,0,15,33
06MT,2200,60,TURF,0,0,E,W
06N,2811,60,ASPH-G,1,0,8,26
06NC,2600,90,TURF,0,0,9,27
06ND,2800,50,TURF,0,0,8,26
06NE,130,95,CONC,0,0,H1,
06NH,1900,150,TURF,0,0,17,35
06NY,2000,75,TURF,0,0,15,33
06O1,40,40,CONC,0,0,H1,
06OH,2400,100,TURF,0,0,9,27
06OI,2256,45,TURF-F,0,0,9,27
06OK,300,100,TURF,0,0,H1,
06OR,1000,80,GRAVEL,0,0,N,S
06PA,2965,100,TURF-G,0,0,8,26
06PN,15,15,CONC,0,0,H1,
06PN,80,80,ASPH,0,0,H2,
06R,2480,30,ASPH-G,1,0,15,33
06SN,2400,75,TURF,0,0,17,35
06TA,1900,15,GRAVEL,0,0,N,S
06TE,3500,50,ASPH,0,0,8,26
06TN,2000,50,TURF-F,0,0,5,23
06TX,1680,60,TURF,0,0,1,19
06VA,2000,100,TURF-G,0,0,5,23
06WA,60,40,ASPH,0,0,H1,
06WN,2845,30,ASPH-G,1,0,9,27
06XS,1750,100,TURF,0,0,16,34
06Y,2997,60,ASPH-G,1,0,14,32
07AL,6000,1200,TURF,0,0,H1,
07AR,3000,60,TURF,0,0,11,29
07B,3186,100,TURF-F,0,0,16,34
07CA,40,40,CONC,0,0,H1,
07CL,2220,50,ASPH,1,0,16,34
07CO,3100,75,TURF,0,0,2,20
07D,2244,65,TURF-G,1,0,18,36
07FA,4500,70,ASPH,1,0,4,22
07FL,67,65,ASPH,0,0,H1,
07GA,1700,80,TURF,0,0,9,27
07I,15000,4000,WATER,0,0,NE,SW
07ID,3000,75,TURF-DIRT,0,0,NW,SE
07II,60,60,CONC,1,0,H1,
07IN,1860,80,TURF,0,0,N,S
07K,3700,60,CONC-E,1,0,15,33
07KS,2000,45,TURF,0,0,18,36
07KY,2000,100,TURF,0,0,11,29
07LA,30,15,CONC,0,0,H1,
07LS,50,50,CONC,0,0,H1,
07MA,120,60,TURF,0,0,H1,
07MD,1000,70,TURF,0,0,17,35
07ME,900,200,TURF,0,0,H1,
07MI,2904,100,TURF,0,0,9,27
07MN,2600,50,TURF,0,0,E,W
07MO,2700,40,TURF-GRVL-F,0,0,17,35
07MT,13500,300,CONC-G,1,0,10,28
07N,2200,100,TURF-F,0,0,16,34
07NC,2000,50,TURF,0,0,8,26
07NH,2500,200,WATER,0,0,05W,23W
07NH,2500,200,WATER,0,0,17W,35W
07NJ,45,45,ASPH,0,0,H1,
07NY,50,50,ASPH,1,0,H1,
07OH,30,30,CONC,0,0,H1,
07OK,2400,80,TURF,0,0,17,35
07OR,1200,100,TURF,0,0,17,35
07PN,1600,100,TURF,0,0,9,27
07TA,2200,125,TURF,1,1,6,24
07TA,200,200,CONC-TURF,1,0,H1,H1
07TE,5000,100,ASPH,0,0,13,31
07TN,1800,75,TURF,0,0,7,25
07TS,2500,75,TURF,1,0,17,35
07TX,400,50,TURF,0,0,H1,
07VA,1600,50,TURF,0,0,16,34
07VT,526,20,TURF,0,0,5,23
07VT,595,20,TURF,0,0,14,32
07WA,53,53,CONC,0,0,H1,
07WI,1500,50,TURF,0,0,9,27
07XS,30,30,CONC,0,0,H1,
07Y,2850,150,TURF-G,0,0,16,34
08AK,1200,80,GRVL,0,0,1,19
08AR,50,50,CONC,0,0,H1,
08AZ,42,42,CONC,0,0,H1,
08B,1935,100,TURF-G,1,0,14,32
08CA,60,60,ASPH,0,0,H1,
08CL,2000,50,DIRT,0,0,E,W
08CN,50,50,CONC,1,0,H1,
08CO,2600,75,TURF,0,0,9,27
08CT,4700,1400,WATER,0,0,1,19
08F,2584,80,TURF-F,0,0,17,35
08FA,3390,75,TURF,0,0,9,27
08FD,4138,104,TURF,0,0,18,36
08FL,2500,100,TURF,0,0,3,21
08G,60,56,ASPH-G,0,0,H1,
08GA,5000,150,TURF,1,0,3,21
08ID,2500,60,GRAVEL,0,0,NW,SE
08II,30,30,CONC,0,0,H1,
08IL,2200,75,TURF,0,0,9,27
08IN,5000,1600,WATER,0,0,13W,31W
08IS,1320,70,TURF,0,0,18,36
08KS,2700,99,GRAVEL,1,0,17,35
08KY,2500,60,TURF-G,0,0,9,27
08LA,30,15,TURF,0,0,H1,
08LL,2190,100,TURF-G,0,0,18,36
08LS,2000,60,TURF,0,0,18,36
08MA,1000,18,ASPH,0,0,4,22
08MD,45,45,MATS,1,0,H1,
08ME,2300,90,TURF-F,0,0,13,31
08MI,60,60,ROOF-TOP,1,0,H1,
08MN,11088,6000,WATER,0,0,18,36
08MO,2640,50,TURF,0,0,3,21
08MO,2140,48,TURF,0,0,18,36
08MS,3725,50,ASPH-TURF,1,0,7,25
08MT,2600,80,DIRT,0,0,7,25
08N,2635,120,TURF-G,1,0,7,25
08NC,3200,50,TURF,0,0,18,36
08ND,1300,75,TURF,0,0,17,35
08NE,3000,100,TURF-G,1,0,11,29
08NH,80,80,CONC,1,0,H1,
08NJ,90,90,ASPH,0,0,H1,
08NY,550,60,TURF,0,0,1,19
08NY,500,40,TURF,0,0,10,28
08OH,3000,50,TURF,0,0,E,W
08OK,1800,50,TURF,1,0,8,26
08OL,1029,40,Turf,0,0,18,36
08OR,2800,20,GRVL,0,0,18,36
08PA,200,150,TURF,0,0,H1,
08PN,50,50,ASPH,0,0,H1,
08R,2129,30,ASPH-P,1,0,11,29
08TA,200,100,TURF,0,0,H1,
08TE,3100,50,ASPH,0,0,16,34
08TX,2100,30,TURF,1,0,9,27
08TX,1800,100,TURF,0,0,18,36
08U,3600,50,DIRT-F,0,0,1,19
08VA,1800,50,TURF,0,0,9,27
08WA,100,100,CONC,0,0,H1,
08XS,2350,100,TURF,0,0,3,21
09AA,22,24,Deck,0,0,H1,H1
09AK,1300,60,TURF,0,0,6,24
09AR,135,100,ASPH,0,0,H1,
09AZ,2350,80,DIRT,0,0,6,24
09CA,65,65,ASPH,1,0,H1,
09CL,3000,50,ASPH-F,0,0,1,19
